species,lon,lat,institutionCode,catalogNumber,cloc,country,colabel,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,elev
Gonipterus platensis,-78.466764,-0.17695,iNaturalist,105105130,"Pichincha, Ecuador",Ecuador,Ecuador,13.95216656,12.02833366,90.49302673,17.43694496,20.8560009,7.56400013,13.29200077,13.90600014,14.05133343,14.12400055,13.77466679,1052,153,20,46.6460228,403,89,123,302,2803
Gonipterus platensis,-73.028964,-36.835556,iNaturalist,105855893,"Bío-Bío, Chile",Chile,South America,12.40066624,9.800666809,54.18325424,300.9231262,22.95199966,4.863999844,18.08799934,9.543333054,16.31466675,16.31466675,8.882666588,1137,245,15,86.32715607,648,57,57,600,129
Gonipterus platensis,-73.135178,-39.911842,iNaturalist,106430912,"Los Ríos, Chile",Chile,South America,11.43616676,9.112999916,50.57159042,319.9490051,21.73999977,3.720000029,18.02000046,8.234666824,15.5413332,15.5413332,7.616666794,2136,358,57,64.7615509,1013,201,201,987,35
Gonipterus platensis,-72.937272,-39.38973,iNaturalist,106346691,"Los Ríos, Chile",Chile,South America,11.2923336,9.841333389,52.63871384,325.0641174,22.22399902,3.527999878,18.69599915,8.021333694,15.45933342,15.45933342,7.443333149,2029,341,54,63.50741959,952,186,186,931,133
Gonipterus platensis,-56.880894,-37.107331,iNaturalist,106330476,"Buenos Aires, Argentina",Argentina,South America,14.5783329,9.442000389,43.64830017,456.8262329,26.13199997,4.5,21.63199997,20.10266685,9.042666435,20.12999916,9.042666435,915,101,56,17.88713074,262,198,260,198,7
Gonipterus platensis,-78.427231,-0.193206,iNaturalist,106615804,"Pichincha, Ecuador",Ecuador,Ecuador,15.39249992,12.12166691,89.81673431,16.37072945,22.34399986,8.847999573,13.49600029,15.40533352,15.43133354,15.53999996,15.22200012,970,151,13,50.40797806,395,77,113,274,2462
Gonipterus platensis,-78.449577,-0.092582,iNaturalist,112309612,"Pichincha, Ecuador",Ecuador,Ecuador,14.95233345,12.52600002,87.71708679,26.81748772,22.50399971,8.223999977,14.27999973,14.84066677,15.14133358,15.29400063,14.71466637,809,130,11,53.45897675,338,57,81,218,2647
Gonipterus platensis,-78.474748,-0.302991,iNaturalist,119794502,"Pichincha, Ecuador",Ecuador,Ecuador,14.94449997,12.49966621,91.26509857,16.37895584,21.9279995,8.232000351,13.69599915,14.97866631,14.95066643,15.0880003,14.77600002,1180,171,18,46.64440536,457,105,425,340,2533
Gonipterus platensis,-73.462517,-41.396308,iNaturalist,113915676,"Los Lagos, Chile",Chile,South America,10.09866619,8.171333313,53.19878769,261.8827515,18.85599899,3.496000051,15.3599987,7.592000008,13.40866661,13.40866661,7.001333237,1798,272,73,41.4070015,701,264,264,689,160
Gonipterus platensis,-79.196396,-4.014261,iNaturalist,115358663,"Loja, Ecuador",Ecuador,Ecuador,15.87316704,9.790333748,79.49280548,43.4773407,22.51199913,10.1960001,12.31599903,16.08200073,15.35333347,16.26333237,15.22066689,950,126,50,28.04867172,334,172,211,189,2233
Gonipterus platensis,-79.226334,-4.038622,iNaturalist,115348127,"Loja, Ecuador",Ecuador,Ecuador,15.63099957,10.12666607,80.29390717,37.59424973,22.35599899,9.744000435,12.61199856,15.77733326,15.19933319,15.99266624,15.06799984,1010,141,47,33.89347076,376,164,231,175,2356
Gonipterus platensis,-74.041891,4.727202,iNaturalist,116133392,"Cundinamarca, Colombia",Colombia,South America,13.97416687,10.7923336,82.81410217,32.47773743,20.32799911,7.296000004,13.03199959,13.85599995,13.92933273,14.44133377,13.64333344,1319,183,42,37.80857086,443,181,400,291,2573
Gonipterus platensis,-62.971052,-35.469994,iNaturalist,115469177,"Buenos Aires, Argentina",Argentina,South America,16.09483337,13.56099987,46.71052551,580.6787109,31.32799911,2.296000004,29.03199959,22.11666679,8.893333435,23.3686676,8.893333435,825,134,24,52.23950577,328,76,284,76,104
Gonipterus platensis,-73.264838,-39.791672,iNaturalist,115981791,"Los Ríos, Chile",Chile,South America,11.45883369,8.904333115,50.83542633,307.7051392,21.49200058,3.976000071,17.51600075,8.423999786,15.42533302,15.42533302,7.815333366,2196,365,61,61.68940735,1013,215,215,992,41
Gonipterus platensis,-56.19645,-33.756562,iNaturalist,117045002,"Florida, Uruguay",Uruguay,South America,16.74766731,11.80066681,46.88758469,487.834137,30.43599892,5.268000126,25.16799927,22.3326664,10.81799984,22.7033329,10.81799984,1262,123,93,7.501350403,344,302,320,302,123
Gonipterus platensis,-78.457474,-0.391257,iNaturalist,118315194,"Pichincha, Ecuador",Ecuador,Ecuador,13.32483292,12.33899975,92.38543701,14.29520035,20.14400101,6.788000107,13.3560009,13.32333279,13.31999969,13.45399952,13.21933365,1211,153,28,40.99178314,438,120,406,363,2807
Gonipterus platensis,-78.526833,-0.339422,iNaturalist,119721506,"Pichincha, Ecuador",Ecuador,Ecuador,12.88866711,12.31333351,91.42658234,12.43379211,19.75200081,6.28399992,13.46800041,12.88466644,12.86999989,12.99800014,12.79933357,1193,157,24,42.4068222,441,114,413,345,2905
Gonipterus platensis,-72.210363,-38.63116,iNaturalist,124154900,"Araucanía, Chile",Chile,South America,10.99916649,12.78100014,56.59316254,369.2524719,24.57600021,1.991999984,22.58399963,7.139333248,15.4046669,15.72599983,6.612666607,1694,286,48,63.15006638,816,154,174,747,327
Gonipterus platensis,-55.256195,-34.81535,iNaturalist,120175397,"Maldonado, Uruguay",Uruguay,South America,16.11983299,8.68900013,43.54951859,423.3933105,26.71199989,6.760000229,19.95199966,13.07133389,19.97266579,21.27000046,10.96933365,1076,98,71,8.338083267,289,241,241,273,83
Gonipterus platensis,-73.243918,-39.840445,iNaturalist,127619811,"Los Ríos, Chile",Chile,South America,11.61116695,9.409667015,51.58808517,315.3215942,22.08399963,3.844000101,18.23999977,8.475999832,15.68000031,15.68000031,7.871333599,2182,364,61,62.7600174,1021,212,212,993,13
Gonipterus platensis,-55.567734,-33.873317,iNaturalist,127435965,"Florida, Uruguay",Uruguay,South America,16.10633278,10.94266701,46.32012558,463.7346802,28.7840004,5.159999847,23.62400055,16.68000031,20.60866737,21.76066589,10.44999981,1273,115,95,5.422754765,337,299,306,316,208
Gonipterus platensis,-71.501678,-33.044399,iNaturalist,128722857,"Valparaíso, Chile",Chile,South America,14.7171669,9.934332848,57.77118683,281.6408691,24.16799927,6.972000122,17.19599915,11.29333305,18.26399994,18.26399994,11.29333305,403,113,1,116.1836548,277,4,4,277,230
Gonipterus platensis,-78.366798,-0.232247,iNaturalist,132174477,"Pichincha, Ecuador",Ecuador,Ecuador,15.07233334,12.48066711,90.02212524,19.74064064,22.24399948,8.380000114,13.86399937,15.05133343,15.14266682,15.27666664,14.88933372,1026,151,19,46.21780777,392,96,133,298,2539
Gonipterus platensis,-78.586416,-0.05308,iNaturalist,140791206,"Pichincha, Ecuador",Ecuador,Ecuador,13.12433338,10.08933353,88.25518799,20.40121841,19.04800034,7.616000175,11.43200016,13.14799976,13.20400047,13.32600021,12.91133308,1035,162,16,52.2582283,431,83,315,257,2769
Gonipterus platensis,-58.436786,-34.779745,iNaturalist,142040442,"Buenos Aires, Argentina",Argentina,South America,17.16833305,10.6206665,44.09111023,488.0775757,29.96800041,5.880000114,24.08800125,22.69933319,11.13866711,23.16466713,11.13866711,1062,113,57,24.23459625,325,177,312,177,14
Gonipterus platensis,-67.714707,-16.190399,iNaturalist,142117825,"La Paz, Bolivia",Bolivia,South America,20.69366646,11.77733326,74.01541901,117.1192245,28.10400009,12.19200039,15.9119997,21.64333344,19.06466675,21.70599937,19.04400063,1235,199,20,62.69659424,577,83,494,96,1468
Gonipterus platensis,-59.195833,-38.0425,iNaturalist,69118596,"Buenos Aires, Argentina",Argentina,South America,13.85016632,12.02566624,47.32278824,494.4605103,28.31199837,2.900000095,25.41199875,19.76933289,8.006667137,20.11933327,8.006667137,824,94,41,22.28210258,261,148,240,148,122
Gonipterus platensis,-78.448661,-0.318942,iNaturalist,78892034,"Pichincha, Ecuador",Ecuador,Ecuador,15.09433365,12.55666637,90.85865784,16.05215073,22.12000084,8.300000191,13.82000065,15.13533401,15.08799934,15.2373333,14.93533325,1174,170,19,46.17931747,450,107,419,342,2505
Gonipterus platensis,-73.179942,-40.578516,iNaturalist,75380213,"Los Lagos, Chile",Chile,South America,10.98050022,9.603666306,52.01292801,310.722229,21.55200005,3.088000059,18.4640007,7.861999989,14.9586668,14.9586668,7.272666931,1344,228,47,55.61604691,603,156,156,565,70
Gonipterus platensis,-78.410255,-0.243794,iNaturalist,76139111,"Pichincha, Ecuador",Ecuador,Ecuador,15.30166721,12.3166666,89.90267181,17.39652824,22.36400032,8.663999557,13.70000076,15.30866623,15.35200024,15.47000027,15.12133312,998,150,16,48.23723221,393,85,124,291,2478
Gonipterus platensis,-78.47694,-0.25556,iNaturalist,76196618,"Pichincha, Ecuador",Ecuador,Ecuador,14.6673336,12.4713335,90.58203125,17.4621315,21.77199936,8.00399971,13.76799965,14.66800022,14.73200035,14.82866669,14.4746666,1138,165,17,47.08143234,440,96,144,331,2619
Gonipterus platensis,-75.522072,6.308753,iNaturalist,76706474,"Antioquia, Colombia",Colombia,South America,18.66250038,9.609666824,88.97839355,42.83865356,24.22400093,13.42399979,10.80000114,18.25399971,18.31999969,19.07066727,18.08533287,2370,305,86,35.30731201,780,320,683,651,1983
Gonipterus platensis,-71.221779,-34.980118,iNaturalist,82179872,"Maule, Chile",Chile,South America,14.06183338,13.06500053,49.23500443,490.8598022,29.58799934,3.052000046,26.5359993,8.733333588,20.34466553,20.34466553,8.20533371,763,198,4,103.8888092,489,17,17,444,220
Gonipterus platensis,-72.593513,-38.727989,iNaturalist,83642368,"Araucanía, Chile",Chile,South America,11.79283333,11.99966621,56.10467148,349.1361694,24.65999985,3.272000074,21.38800049,8.21866703,15.94199944,16.29466629,7.654666901,1263,216,37,60.97556305,599,124,129,548,133
Gonipterus platensis,-78.515403,-0.2724,iNaturalist,89100210,"Pichincha, Ecuador",Ecuador,Ecuador,12.9331665,12.24900055,91.24702454,11.98527431,19.79999924,6.375999928,13.42399979,12.91866684,12.94733334,13.00933361,12.82266712,1176,161,24,43.43327713,437,110,417,338,2939
Gonipterus platensis,-78.563,-0.292512,iNaturalist,92513266,"Pichincha, Ecuador",Ecuador,Ecuador,12.06716633,12.12833309,91.38285828,10.57286167,18.77600098,5.504000187,13.27200127,12.07933331,12.01533318,12.16600037,12.00333309,1228,160,28,41.09166718,448,125,429,320,3039
Gonipterus platensis,-74.062827,4.628395,iNaturalist,91105063,"Cundinamarca, Colombia",Colombia,South America,13.42666626,10.44133282,82.03436279,31.02072906,19.69199944,6.964000225,12.72799873,13.63066673,13.42533302,13.85400009,13.10866737,1612,196,62,31.4969902,518,242,487,456,2657
Gonipterus platensis,-78.404133,-0.197454,iNaturalist,95114776,"Pichincha, Ecuador",Ecuador,Ecuador,15.91749954,12.1716671,89.78804016,13.32069397,22.80800056,9.251999855,13.55600071,15.96533298,15.88666725,16.02799988,15.78733349,898,141,12,50.08096313,365,74,335,255,2327
Gonipterus platensis,-78.336354,-0.190323,iNaturalist,97735507,"Pichincha, Ecuador",Ecuador,Ecuador,15.45349979,12.48900032,89.56539917,17.17529869,22.61600113,8.671999931,13.9440012,15.45666695,15.48999977,15.60599995,15.28800011,932,141,16,47.26704788,363,86,117,267,2457
Gonipterus platensis,-78.503306,-0.152645,iNaturalist,98643363,"Pichincha, Ecuador",Ecuador,Ecuador,10.18216705,11.30233288,92.03855133,12.99438953,16.24799919,3.967999935,12.27999878,10.23666668,10.05333328,10.3166666,10.05333328,1013,130,26,41.59718704,364,103,345,103,3351
Gonipterus platensis,-73.434568,-39.869618,iNaturalist,101284198,"Los Ríos, Chile",Chile,South America,10.98958302,8.293749809,52.91068649,264.4022217,19.875,4.199999809,15.67500019,8.495833397,14.38124943,14.38124943,7.891666889,2135,339,64,55.79758835,931,226,226,917,116
Gonipterus platensis,-78.448473,-0.249274,iNaturalist,102017915,"Pichincha, Ecuador",Ecuador,Ecuador,15.40849972,12.16433334,89.81345367,16.77663231,22.37999916,8.836000443,13.54399872,15.43799973,15.44133377,15.55333328,15.22999954,1047,159,16,48.69316101,419,89,133,299,2442
Gonipterus platensis,-78.529052,-0.298181,iNaturalist,102617362,"Pichincha, Ecuador",Ecuador,Ecuador,12.75016689,12.30033302,91.11358643,11.86115742,19.6439991,6.144000053,13.49999905,12.73666668,12.74866676,12.83733368,12.6546669,1187,158,24,42.87253952,439,112,414,343,2948
Gonipterus platensis,-78.433222,-0.338892,iNaturalist,42427427,"Pichincha, Ecuador",Ecuador,Ecuador,14.58283329,12.47633362,91.76473236,16.4496994,21.52400017,7.927999973,13.59600067,14.61666679,14.57400036,14.73933315,14.43733311,1184,166,23,44.01705551,443,115,418,346,2584
Gonipterus platensis,-78.495042,-0.160914,iNaturalist,46395103,"Pichincha, Ecuador",Ecuador,Ecuador,13.80449963,11.99433327,89.77794647,15.52947712,20.7159996,7.355999947,13.35999966,13.76000023,13.88199997,13.94866657,13.65333366,1057,154,20,46.15594864,401,92,119,298,2840
Gonipterus platensis,-78.407415,-0.287306,iNaturalist,49269499,"Pichincha, Ecuador",Ecuador,Ecuador,14.14633369,12.47799969,89.58930969,18.59223938,21.38400078,7.455999851,13.9280014,14.10000038,14.22533321,14.34799957,13.98200035,1085,151,19,45.80703735,407,93,133,330,2726
Gonipterus platensis,-72.662071,-38.752872,iNaturalist,55662313,"Araucanía, Chile",Chile,South America,11.91966629,12.00666714,56.45413971,344.3513794,24.66800117,3.400000095,21.26800156,8.402000427,16.04000092,16.35466576,7.835999966,1242,210,36,60.53237534,587,123,126,537,99
Gonipterus platensis,-58.430534,-34.560129,iNaturalist,20779085,"Ciudad de Buenos Aires, Argentina",Argentina,South America,17.481884,9.431159019,41.80317307,480.2622375,29.4826088,6.921739101,22.56086922,22.93695641,11.55217361,23.37826157,11.55217361,1056,114,60,23.3042984,323,182,305,182,16
Gonipterus platensis,-74.055718,4.67435,iNaturalist,45119035,"Cundinamarca, Colombia",Colombia,South America,14.05133343,10.79800034,82.57876587,33.02959061,20.46800041,7.392000198,13.07600021,14.29466629,14.05066681,14.50866604,13.69200039,1486,184,52,31.50260925,489,218,464,353,2555
Gonipterus platensis,-75.615556,6.402778,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,192,"Antioquia, Bello, Colombia, SOUTH_AMERICA",Colombia,South America,15.06566715,8.820000648,89.09091949,37.49956131,20.05999947,10.15999985,9.899999619,14.91600037,14.69266701,15.48200035,14.63333321,2384,297,75,35.22800064,775,307,654,415,2507
Gonipterus platensis,-71.440875,-33.048271,iNaturalist,104122319,"Valparaíso, Chile",Chile,South America,15.23600006,11.22399998,59.91885376,291.4884949,25.5720005,6.840000153,18.73200035,11.66800022,18.59066582,18.88933372,11.66800022,403,120,0,118.7141266,280,3,3,280,148
Gonipterus platensis,-71.521425,-33.039369,iNaturalist,48462209,"Valparaíso, Chile",Chile,South America,14.94416618,10.18833351,58.59404755,276.1064148,24.49600029,7.108000278,17.38800049,11.60333347,18.4406662,18.4406662,11.60333347,392,115,0,117.401619,270,3,3,270,142